,HS부호,한글품목명,영문품목명,중량단위코드
10965,8543709090,기타,Other,KG
10966,8543901000,전자초소형 조립회로,Electronic micro-assemblies,KG
10967,8543909000,기타,Other,KG
10968,8544111000,절연도료 피복전선,Insulating lacquer or enamel insulated,KG
10969,8544119000,기타,Other,KG
10970,8544190000,기타,Other,KG
10971,8544200000,동축케이블과 그 밖의 동축 도체,Co-axial cable and other co-axial electric conductors,KG
10972,8544300000,점화용 와이어링 세트와 그 밖의 와이어링 세트(자동차용ㆍ항공기용ㆍ선박용으로 한정한다),"Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",KG
10973,85444210,종이 절연전선,Paper insulated wire,
10974,8544421010,전기통신용,Of a kind used for telecommunications,KG
10975,8544421090,기타,Other,KG
10976,85444220,플라스틱 절연전선,Plastic insulated wire,
10977,8544422010,전기통신용,Of a kind used for telecommunications,KG
10978,8544422090,기타,Other,KG
10979,85444290,기타,Other,
10980,8544429010,전기통신용,Of a kind used for telecommunications,KG
10981,8544429090,기타,Other,KG
10982,85444910,종이 절연전선,Paper insulated wire,
10983,854449101,전기통신용,Of a kind used for telecommunications,
10984,8544491011,전압이 80볼트 이하인 것,For a voltage not exceeding 80 V,KG
10985,8544491012,"전압이 80볼트 초과 1,000볼트 이하인 것","For a voltage exceeding 80V but not exceeding 1,000 V",KG
10986,8544491090,기타,Other,KG
10987,85444920,플라스틱 절연전선,Plastic insulated wire,
10988,854449201,전기통신용,Of a kind used for telecommunications,
10989,8544492011,전압이 80볼트 이하인 것,For a voltage not exceeding 80 V,KG
10990,8544492012,"전압이 80볼트 초과 1,000볼트 이하인 것","For a voltage exceeding 80 V but not exceeding 1,000 V",KG
10991,8544492090,기타,Other,KG
10992,85444990,기타,Other,
10993,854449901,전기통신용,Of a kind used for telecommunications,
10994,8544499011,전압이 80볼트 이하인 것,For a voltage not exceeding 80 V,KG
10995,8544499012,"전압이 80볼트 초과 1,000볼트 이하인 것","For a voltage exceeding 80 V but not exceeding 1,000 V",KG
10996,8544499090,기타,Other,KG
10997,85446010,전압이 10킬로볼트 이하인 것,For a voltage not exceeding 10 kV,
10998,8544601010,플라스틱 절연전선,Plastic insulated wire,KG
10999,8544601090,기타,Other,KG
11000,85446020,전압이 10킬로볼트 초과 100킬로볼트 이하인 것,For a voltage exceeding 10 kV but not exceeding 100 kV,
11001,8544602010,플라스틱 절연전선,Plastic insulated wire,KG
11002,8544602090,기타,Other,KG
11003,85446030,전압이 100킬로볼트를 초과하는 것,For a voltage exceeding 100 kV,
11004,8544603010,플라스틱 절연전선,Plastic insulated wire,KG
11005,8544603090,기타,Other,KG
11006,8544700000,광섬유 케이블,Optical fibre cables,KG
11007,8545110000,노(爐)용,Of a kind used for furnaces,KG
11008,8545190000,기타,Other,KG
11009,8545200000,브러시,Brushes,KG
11010,8545901000,탄소봉,Carbon rod,KG
11011,8545902000,탄소난방필름,Carbon heating film,KG
11012,8545909000,기타,Other,KG
11013,8546100000,유리로 만든 것,Of glass,KG
11014,8546200000,도자제의 것,Of ceramics,KG
11015,8546901000,플라스틱으로 만든 애자,Artificial plastic insulators,KG
11016,8546909000,기타,Other,KG
11017,8547100000,도자제의 절연용 물품,Insulating fittings of ceramics,KG
11018,8547200000,플라스틱으로 만든 절연용 물품,Insulating fittings of plastics,KG
11019,8547900000,기타,Other,KG
11020,8548001000,전자 초소형 조립회로 ,Electronic micro-assemblies,KG
11021,8548009000,기타,Other,KG
11022,8549110000,"연산(鉛酸) 축전지의 웨이스트(waste)와 스크랩(scrap), 수명이 끝난 연산 축전지",Waste and scrap of lead-acid accumulators; spent lead-acid accumulators,KG
11023,8549121000,납을 함유한 것,Containing lead,KG
11024,8549122000,카드뮴을 함유한 것,Containing cadmium,KG
11025,8549123000,수은을 함유한 것,Containing mercury,KG
11026,8549130000,화학적 유형에 따라 선별된 것(납ㆍ카드뮴ㆍ수은을 함유하지 않은 것으로 한정한다),"Sorted by chemical type and not containing lead, cadmium or mercury",KG
11027,8549141000,철강ㆍ구리ㆍ니켈ㆍ아연을 함유한 것,"Containing iron and steel, copper, nickel or zinc",KG
11028,8549142000,망간을 함유한 것,Containing manganese,KG
11029,8549149000,기타 ,Other,KG
11030,8549190000,기타,Other,KG
11031,8549211000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11032,8549212000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11033,8549219000,기타,Other,KG
11034,8549291000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11035,8549292000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11036,8549299000,기타,Other,KG
11037,8549311000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11038,8549312000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11039,8549319000,기타,Other,KG
11040,8549391000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11041,8549392000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11042,8549399000,기타,Other,KG
11043,8549911000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11044,8549912000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11045,8549919000,기타,Other,KG
11046,8549991000,철강·구리·니켈·납·아연을 함유한 것,"Containing iron and steel, copper, nickel , lead or zinc",KG
11047,8549992000,유리·카드뮴·망간을 함유한 것,"Containing glass, cadmium or manganese",KG
11048,8549999000,기타,Other,KG
11049,8601100000,외부 전원으로 주행하는 것,Powered from an external source of electricity,KG
11050,8601200000,축전지로 주행하는 것,Powered by electric accumulators,KG
11051,8602100000,디젤 전기기관차,Diesel-electric locomotives,KG
11052,8602900000,기타,Other,KG
11053,8603101000,객차,Coaches,KG
11054,8603102000,화차,Vans and trucks,KG
11055,8603901000,객차,Coaches,KG
11056,8603902000,화차,Vans and trucks,KG
11057,8604004000,궤도검사차,Track inspection vehicles,KG
11058,8604009000,기타,Other,KG
11059,8605001000,객차,Coaches,KG
11060,8605002000,수하물차,Luggage vans,KG
11061,8605009000,기타,Other,KG
11062,8606100000,탱크차와 이와 유사한 차,Tank wagons and the like,KG
11063,8606300000,자기양하식(self-discharging) 화차(소호 제8606.10호의 것은 제외한다),"Self-discharging vans and wagons, other than those of subheading 8606.10.",KG
11064,8606910000,덮개가 있는 것으로서 밀폐되어 있는 것,Covered and closed,KG
11065,8606920000,덮개가 없는 것으로서 고정된 측면의 높이가 60센티미터를 초과하는 것,"Open, with non-removable sides of a height exceeding 60 cm",KG
11066,8606990000,기타,Other,KG
11067,8607110000,구동식 보기(bogie)와 비셀보기(bissel-bogie),Driving bogies and bissel-bogies,KG
11068,8607120000,그 밖의 보기(bogie)와 비셀보기(bissel-bogie),Other bogies and bissel-bogies,KG
11069,8607191000,차축,Axles,KG
11070,8607192000,차륜,Wheels,KG
